"zip","Loss"
"00000",23204.096185
"00018",729.675433
"00048",592.444065
"00070",279.599397
"00135",0.075795
"00151",0.015445
"01001",40682.73452
"01002",14619.993542
"01003",8.330348
"01005",2332.668368
"01007",3482.174492
"01008",235.178988
"01010",1499.758545
"01011",320.355506
"01012",98.116548
"01013",10154.018444
"01014",365.629575
"01020",14748.983853
"01022",1033.089466
"01026",454.608255
"01027",7790.310535
"01028",33533.525098
"01030",10575.61273
"01031",259.772493
"01032",164.003844
"01033",1752.482922
"01034",673.682029
"01035",12194.721613
"01036",2141.273
"01038",766.824233
"01039",23934.683766
"01040",23305.80177
"01041",628.666963
"01050",674.949915
"01053",309.612016
"01054",206.84728
"01056",11842.869882
"01057",3797.886322
"01060",10369.874883
"01062",2718.017573
"01063",16.409343
"01066",15.269151
"01068",764.859514
"01069",3357.379547
"01070",105.74828
"01071",272.583771
"01072",265.103453
"01073",1250.691955
"01075",7341.135583
"01077",2991.319435
"01080",213.539986
"01081",419.76834
"01082",4573.373587
"01084",1.043204
"01085",26444.878609
"01088",236.607611
"01089",24189.985479
"01092",162.940697
"01095",13584.283358
"01096",452.516668
"01098",217.972212
"01103",30806.973892
"01104",10003.010576
"01105",8461.500023
"01106",7301.84789
"01107",4504.553739
"01108",10473.645273
"01109",14414.482556
"01111",31235.505831
"01118",5524.437399
"01119",10243.890506
"01128",1545.589405
"01129",10562.176535
"01144",23.348477
"01151",7943.755553
"01201",25859.81549
"01220",2913.854007
"01222",104.959304
"01223",1150.623372
"01224",49.578429
"01225",509.555751
"01226",1615.177284
"01230",5524.664325
"01235",853.559234
"01236",175.982055
"01237",5582.347245
"01238",4498.979514
"01240",2117.14264
"01243",92.254942
"01245",292.528741
"01247",7318.54765
"01253",825.466632
"01254",367.913142
"01255",256.150745
"01256",149.747311
"01257",1033.896359
"01258",169.585777
"01259",978.2544
"01262",834.843406
"01266",481.839443
"01267",1905.475817
"01270",329.028725
"01301",8279.532551
"01330",292.81141
"01331",3460.480981
"01337",554.596831
"01338",93.726004
"01339",300.533351
"01340",239.03646
"01341",673.642148
"01342",3446.247622
"01343",45.130805
"01344",248.748215
"01346",67.075144
"01349",297.164279
"01350",13379.149646
"01351",1879.519029
"01354",151.529615
"01355",83.301195
"01360",776.92577
"01364",5674.665388
"01366",260.199311
"01367",828.229967
"01368",173.092331
"01370",905.547028
"01373",24020.374253
"01375",4233.386545
"01376",1760.247206
"01378",102.634438
"01379",152.395447
"01420",33672.67032
"01430",1998.259917
"01431",1121.194723
"01432",49965.689843
"01434",321876.337249
"01436",1045.595802
"01440",12626.477536
"01450",5393.491833
